username,created_at,full_text,cleaned,case_fold,token,stop,lemmatized,Sentiment_Label
pawmesans,Wed May 15 13:33:35 +0000 2024,kenapa temen temenku menyesal di ikn,kenapa temen temenku menyesal di ikn,kenapa temen temenku menyesal di ikn,"['kenapa', 'temen', 'temenku', 'menyesal', 'di', 'ikn']","['temen', 'temenku', 'menyesal', 'ikn']","['temen', 'temenku', 'menyesal', 'ikn']",Neutral
dicksick66,Wed May 15 13:31:51 +0000 2024,@gaprasetya_ @tempodotco nggo mbangun kamare gibran ng IKN,  nggo mbangun kamare gibran ng IKN,nggo mbangun kamare gibran ng ikn,"['nggo', 'mbangun', 'kamare', 'gibran', 'ng', 'ikn']","['nggo', 'mbangun', 'kamare', 'gibran', 'ng', 'ikn']","['nggo', 'mbangun', 'kamare', 'gibran', 'ng', 'ikn']",Neutral
ruu_syy,Wed May 15 13:29:39 +0000 2024,@minchanisme iya gilaaa : ukt mahal pertalite mau diapusin bbm naik dua ini naik pasti semua harga naik ppn mungkin jg IKN gas terus dg segala kemewahannya buat pemerintah masalah ga diselesain dari akar dan selalu rakyat yg disuruh gerak halahh ta , iya gilaaa  ukt mahal pertalite mau diapusin bbm naik dua ini naik pasti semua harga naik ppn mungkin jg IKN gas terus dg segala kemewahannya buat pemerintah masalah ga diselesain dari akar dan selalu rakyat yg disuruh gerak halahh ta ,iya gilaaa ukt mahal pertalite mau diapusin bbm naik dua ini naik pasti semua harga naik ppn mungkin jg ikn gas terus dg segala kemewahannya buat pemerintah masalah ga diselesain dari akar dan selalu rakyat yg disuruh gerak halahh ta,"['iya', 'gilaaa', 'ukt', 'mahal', 'pertalite', 'mau', 'diapusin', 'bbm', 'naik', 'dua', 'ini', 'naik', 'pasti', 'semua', 'harga', 'naik', 'ppn', 'mungkin', 'jg', 'ikn', 'gas', 'terus', 'dg', 'segala', 'kemewahannya', 'buat', 'pemerintah', 'masalah', 'ga', 'diselesain', 'dari', 'akar', 'dan', 'selalu', 'rakyat', 'yg', 'disuruh', 'gerak', 'halahh', 'ta']","['iya', 'gilaaa', 'ukt', 'mahal', 'pertalite', 'diapusin', 'bbm', 'harga', 'ppn', 'jg', 'ikn', 'gas', 'dg', 'kemewahannya', 'pemerintah', 'ga', 'diselesain', 'akar', 'rakyat', 'yg', 'disuruh', 'gerak', 'halahh', 'ta']","['iya', 'gilaaa', 'ukt', 'mahal', 'pertalite', 'diapusin', 'bbm', 'harga', 'ppn', 'jg', 'ikn', 'gas', 'dg', 'kemewahannya', 'pemerintah', 'ga', 'diselesain', 'akar', 'rakyat', 'yg', 'disuruh', 'gerak', 'halahh', 'ta']",Neutral
juundiii,Wed May 15 13:26:42 +0000 2024,@kumparan Pemerintah kita ga all out mengamalkan amanat konstitusi mencerdaskan kehidupan bangsa -nya masih mending uangnya dipake bangun rumah pejabat di ikn yang mewah itu nampaknya, Pemerintah kita ga all out mengamalkan amanat konstitusi mencerdaskan kehidupan bangsa nya masih mending uangnya dipake bangun rumah pejabat di ikn yang mewah itu nampaknya,pemerintah kita ga all out mengamalkan amanat konstitusi mencerdaskan kehidupan bangsa nya masih mending uangnya dipake bangun rumah pejabat di ikn yang mewah itu nampaknya,"['pemerintah', 'kita', 'ga', 'all', 'out', 'mengamalkan', 'amanat', 'konstitusi', 'mencerdaskan', 'kehidupan', 'bangsa', 'nya', 'masih', 'mending', 'uangnya', 'dipake', 'bangun', 'rumah', 'pejabat', 'di', 'ikn', 'yang', 'mewah', 'itu', 'nampaknya']","['pemerintah', 'ga', 'all', 'out', 'mengamalkan', 'amanat', 'konstitusi', 'mencerdaskan', 'kehidupan', 'bangsa', 'nya', 'mending', 'uangnya', 'dipake', 'bangun', 'rumah', 'pejabat', 'ikn', 'mewah', 'nampaknya']","['pemerintah', 'ga', 'all', 'out', 'mengamalkan', 'amanat', 'konstitusi', 'mencerdaskan', 'kehidupan', 'bangsa', 'nya', 'mend', 'uangnya', 'dipake', 'bangun', 'rumah', 'pejabat', 'ikn', 'mewah', 'nampaknya']",Neutral
hyuktannie_bebe,Wed May 15 13:22:47 +0000 2024,@cherygirrll kan bakal ikn wkwk, kan bakal ikn wkwk,kan bakal ikn wkwk,"['kan', 'bakal', 'ikn', 'wkwk']","['ikn', 'wkwk']","['ikn', 'wkwk']",Neutral
satriomahadi,Wed May 15 13:22:08 +0000 2024,Ke IKN aja,Ke IKN aja,ke ikn aja,"['ke', 'ikn', 'aja']","['ikn', 'aja']","['ikn', 'aja']",Neutral
AndroMe23,Wed May 15 13:18:07 +0000 2024,@Tita83079013 Sindir food estate sama ikn ya babat hutan?, Sindir food estate sama ikn ya babat hutan,sindir food estate sama ikn ya babat hutan,"['sindir', 'food', 'estate', 'sama', 'ikn', 'ya', 'babat', 'hutan']","['sindir', 'food', 'estate', 'ikn', 'ya', 'babat', 'hutan']","['sindir', 'food', 'estate', 'ikn', 'ya', 'babat', 'hutan']",Neutral
rchkrn13,Wed May 15 13:13:20 +0000 2024,@kaktelur Makin keliatan BU banget ken semua anggaran dipotong buat IKN tae, Makin keliatan BU banget ken semua anggaran dipotong buat IKN tae,makin keliatan bu banget ken semua anggaran dipotong buat ikn tae,"['makin', 'keliatan', 'bu', 'banget', 'ken', 'semua', 'anggaran', 'dipotong', 'buat', 'ikn', 'tae']","['keliatan', 'bu', 'banget', 'ken', 'anggaran', 'dipotong', 'ikn', 'tae']","['keliatan', 'bu', 'banget', 'ken', 'anggaran', 'dipotong', 'ikn', 'tae']",Neutral
yeinurarea,Wed May 15 13:11:19 +0000 2024,@jjoysbahng kalo di ikn gue giveaway 1 tiket, kalo di ikn gue giveaway 1 tiket,kalo di ikn gue giveaway tiket,"['kalo', 'di', 'ikn', 'gue', 'giveaway', 'tiket']","['kalo', 'ikn', 'gue', 'giveaway', 'tiket']","['kalo', 'ikn', 'gue', 'giveaway', 'tiket']",Neutral
modkive,Wed May 15 13:10:27 +0000 2024,I failed to understand kenapa pemerintah kita lebih milih untuk bangun IKN ketimbang naikin gaji guru/ngebantu biar UKT kuliah menurun? Maksudnya tuh kayak... lu nentuin skala prioritasnya gimana sih? @ pemerentah?????,I failed to understand kenapa pemerintah kita lebih milih untuk bangun IKN ketimbang naikin gaji gurungebantu biar UKT kuliah menurun Maksudnya tuh kayak lu nentuin skala prioritasnya gimana sih  pemerentah,i failed to understand kenapa pemerintah kita lebih milih untuk bangun ikn ketimbang naikin gaji gurungebantu biar ukt kuliah menurun maksudnya tuh kayak lu nentuin skala prioritasnya gimana sih pemerentah,"['i', 'failed', 'to', 'understand', 'kenapa', 'pemerintah', 'kita', 'lebih', 'milih', 'untuk', 'bangun', 'ikn', 'ketimbang', 'naikin', 'gaji', 'gurungebantu', 'biar', 'ukt', 'kuliah', 'menurun', 'maksudnya', 'tuh', 'kayak', 'lu', 'nentuin', 'skala', 'prioritasnya', 'gimana', 'sih', 'pemerentah']","['i', 'failed', 'to', 'understand', 'pemerintah', 'milih', 'bangun', 'ikn', 'ketimbang', 'naikin', 'gaji', 'gurungebantu', 'biar', 'ukt', 'kuliah', 'menurun', 'maksudnya', 'tuh', 'kayak', 'lu', 'nentuin', 'skala', 'prioritasnya', 'gimana', 'sih', 'pemerentah']","['i', 'fail', 'to', 'understand', 'pemerintah', 'milih', 'bangun', 'ikn', 'ketimbang', 'naikin', 'gaji', 'gurungebantu', 'biar', 'ukt', 'kuliah', 'menurun', 'maksudnya', 'tuh', 'kayak', 'lu', 'nentuin', 'skala', 'prioritasnya', 'gimana', 'sih', 'pemerentah']",Neutral
kumparan,Wed May 15 13:09:19 +0000 2024,Wijaya Karya kantongi kontrak baru Rp 5 68 triliun di kuartal I 2024 salah satunya proyek IKN. #bisnis #update #bisnis #text https://t.co/Qnzbdc5cN8,Wijaya Karya kantongi kontrak baru Rp 5 68 triliun di kuartal I 2024 salah satunya proyek IKN     ,wijaya karya kantongi kontrak baru rp triliun di kuartal i salah satunya proyek ikn,"['wijaya', 'karya', 'kantongi', 'kontrak', 'baru', 'rp', 'triliun', 'di', 'kuartal', 'i', 'salah', 'satunya', 'proyek', 'ikn']","['wijaya', 'karya', 'kantongi', 'kontrak', 'rp', 'triliun', 'kuartal', 'i', 'salah', 'satunya', 'proyek', 'ikn']","['wijaya', 'karya', 'kantongi', 'kontrak', 'rp', 'triliun', 'kuartal', 'i', 'salah', 'satunya', 'proyek', 'ikn']",Neutral
drugonlinegate,Wed May 15 13:07:56 +0000 2024,@freeranthere Cwk ikn, Cwk ikn,cwk ikn,"['cwk', 'ikn']","['cwk', 'ikn']","['cwk', 'ikn']",Neutral
samdiken911,Wed May 15 13:07:53 +0000 2024,@ARSIPAJA IKN ama kereta cepat buat orang Jakarta dan Bandung si kebutuhan primer plus. Ampe rela ngutang2 buat jadiinnya, IKN ama kereta cepat buat orang Jakarta dan Bandung si kebutuhan primer plus Ampe rela ngutang2 buat jadiinnya,ikn ama kereta cepat buat orang jakarta dan bandung si kebutuhan primer plus ampe rela ngutang buat jadiinnya,"['ikn', 'ama', 'kereta', 'cepat', 'buat', 'orang', 'jakarta', 'dan', 'bandung', 'si', 'kebutuhan', 'primer', 'plus', 'ampe', 'rela', 'ngutang', 'buat', 'jadiinnya']","['ikn', 'ama', 'kereta', 'cepat', 'orang', 'jakarta', 'bandung', 'si', 'kebutuhan', 'primer', 'plus', 'ampe', 'rela', 'ngutang', 'jadiinnya']","['ikn', 'ama', 'kereta', 'cepat', 'orang', 'jakarta', 'bandung', 'si', 'kebutuhan', 'primer', 'plus', 'ampe', 'rela', 'ngutang', 'jadiinnya']",Neutral
lifghter,Wed May 15 13:05:14 +0000 2024,Everything happening in Indonesia is just unbelievable.. UKT naik gila-gilaan pembangunan IKN dengan dana fantastis isu ppn naik jadi 12% harga hasil tani anjlok parah ,Everything happening in Indonesia is just unbelievable UKT naik gilagilaan pembangunan IKN dengan dana fantastis isu ppn naik jadi 12 harga hasil tani anjlok parah ,everything happening in indonesia is just unbelievable ukt naik gilagilaan pembangunan ikn dengan dana fantastis isu ppn naik jadi harga hasil tani anjlok parah,"['everything', 'happening', 'in', 'indonesia', 'is', 'just', 'unbelievable', 'ukt', 'naik', 'gilagilaan', 'pembangunan', 'ikn', 'dengan', 'dana', 'fantastis', 'isu', 'ppn', 'naik', 'jadi', 'harga', 'hasil', 'tani', 'anjlok', 'parah']","['everything', 'happening', 'in', 'indonesia', 'is', 'just', 'unbelievable', 'ukt', 'gilagilaan', 'pembangunan', 'ikn', 'dana', 'fantastis', 'isu', 'ppn', 'harga', 'hasil', 'tani', 'anjlok', 'parah']","['everything', 'happen', 'in', 'indonesia', 'be', 'just', 'unbelievable', 'ukt', 'gilagilaan', 'pembangunan', 'ikn', 'dana', 'fantastis', 'isu', 'ppn', 'harga', 'hasil', 'tani', 'anjlok', 'parah']",Neutral
dimas_satura,Wed May 15 13:04:38 +0000 2024,Dalam wawancara itu Prabowo juga menegaskan komitmennya untuk melindungi serta menjamin kesejahteraan masyarakat adat yang berada di IKN.,Dalam wawancara itu Prabowo juga menegaskan komitmennya untuk melindungi serta menjamin kesejahteraan masyarakat adat yang berada di IKN,dalam wawancara itu prabowo juga menegaskan komitmennya untuk melindungi serta menjamin kesejahteraan masyarakat adat yang berada di ikn,"['dalam', 'wawancara', 'itu', 'prabowo', 'juga', 'menegaskan', 'komitmennya', 'untuk', 'melindungi', 'serta', 'menjamin', 'kesejahteraan', 'masyarakat', 'adat', 'yang', 'berada', 'di', 'ikn']","['wawancara', 'prabowo', 'komitmennya', 'melindungi', 'menjamin', 'kesejahteraan', 'masyarakat', 'adat', 'ikn']","['wawancara', 'prabowo', 'komitmennya', 'melindungi', 'menjamin', 'kesejahteraan', 'masyarakat', 'adat', 'ikn']",Neutral
catdarkbluu,Wed May 15 13:04:32 +0000 2024,@kdrama_menfess Ndeeeer km gpp kan? Km keselek apa sampe harus berusaha sekeras itu? Keselek tanah IKN kah? Pas loat scene ini gw ketiwi ngikik, Ndeeeer km gpp kan Km keselek apa sampe harus berusaha sekeras itu Keselek tanah IKN kah Pas loat scene ini gw ketiwi ngikik,ndeeeer km gpp kan km keselek apa sampe harus berusaha sekeras itu keselek tanah ikn kah pas loat scene ini gw ketiwi ngikik,"['ndeeeer', 'km', 'gpp', 'kan', 'km', 'keselek', 'apa', 'sampe', 'harus', 'berusaha', 'sekeras', 'itu', 'keselek', 'tanah', 'ikn', 'kah', 'pas', 'loat', 'scene', 'ini', 'gw', 'ketiwi', 'ngikik']","['ndeeeer', 'km', 'gpp', 'km', 'keselek', 'sampe', 'berusaha', 'sekeras', 'keselek', 'tanah', 'ikn', 'kah', 'pas', 'loat', 'scene', 'gw', 'ketiwi', 'ngikik']","['ndeeeer', 'km', 'gpp', 'km', 'keselek', 'sampe', 'berusaha', 'sekeras', 'keselek', 'tanah', 'ikn', 'kah', 'pa', 'loat', 'scene', 'gw', 'ketiwi', 'ngikik']",Neutral
prokaldotco,Wed May 15 13:00:01 +0000 2024,Jadi Kawasan Penyangga IKN Kaltim Berpotensi Kembangkan Industri Kesehatan #penyanggaIKN #industrikesehatan #akmalmalik #kaltim https://t.co/OlN5qQEtfg,Jadi Kawasan Penyangga IKN Kaltim Berpotensi Kembangkan Industri Kesehatan     ,jadi kawasan penyangga ikn kaltim berpotensi kembangkan industri kesehatan,"['jadi', 'kawasan', 'penyangga', 'ikn', 'kaltim', 'berpotensi', 'kembangkan', 'industri', 'kesehatan']","['kawasan', 'penyangga', 'ikn', 'kaltim', 'berpotensi', 'kembangkan', 'industri', 'kesehatan']","['kawasan', 'penyangga', 'ikn', 'kaltim', 'berpotensi', 'kembangkan', 'industri', 'kesehatan']",Neutral
hayazakitwt,Wed May 15 12:59:25 +0000 2024,@raantwt @runaAviena Itu skrg dlu ga gini2 bgt grgr ikn,  Itu skrg dlu ga gini2 bgt grgr ikn,itu skrg dlu ga gini bgt grgr ikn,"['itu', 'skrg', 'dlu', 'ga', 'gini', 'bgt', 'grgr', 'ikn']","['skrg', 'dlu', 'ga', 'gini', 'bgt', 'grgr', 'ikn']","['skrg', 'dlu', 'ga', 'gini', 'bgt', 'grgr', 'ikn']",Neutral
idntalk_com,Wed May 15 12:59:18 +0000 2024,IKN HARI INI !! PERKEMBANGAN GARUDA IBU KOTA NEGARA NUSANTARA KONEKTIVITAS OTONOM DAERAH https://t.co/yhmFD7ebC2,IKN HARI INI  PERKEMBANGAN GARUDA IBU KOTA NEGARA NUSANTARA KONEKTIVITAS OTONOM DAERAH ,ikn hari ini perkembangan garuda ibu kota negara nusantara konektivitas otonom daerah,"['ikn', 'hari', 'ini', 'perkembangan', 'garuda', 'ibu', 'kota', 'negara', 'nusantara', 'konektivitas', 'otonom', 'daerah']","['ikn', 'perkembangan', 'garuda', 'kota', 'negara', 'nusantara', 'konektivitas', 'otonom', 'daerah']","['ikn', 'perkembangan', 'garuda', 'kota', 'negara', 'nusantara', 'konektivitas', 'otonom', 'daerah']",Neutral
ikan_mainan,Wed May 15 12:55:51 +0000 2024,@asboediono_id Our country ni emang besar pasak dari pada tiang. Alih-alih support health education etc. lebih ️ bikin IKN dan tetek bengek u/ simbolis program micin yg ga tau tujuan dan hasil. Percum tak bergun. Mau dinaikin sampe berapapun kalo udah bocor sana sini ya ga kelar2 masalah., Our country ni emang besar pasak dari pada tiang Alihalih support health education etc lebih ️ bikin IKN dan tetek bengek u simbolis program micin yg ga tau tujuan dan hasil Percum tak bergun Mau dinaikin sampe berapapun kalo udah bocor sana sini ya ga kelar2 masalah,our country ni emang besar pasak dari pada tiang alihalih support health education etc lebih bikin ikn dan tetek bengek u simbolis program micin yg ga tau tujuan dan hasil percum tak bergun mau dinaikin sampe berapapun kalo udah bocor sana sini ya ga kelar masalah,"['our', 'country', 'ni', 'emang', 'besar', 'pasak', 'dari', 'pada', 'tiang', 'alihalih', 'support', 'health', 'education', 'etc', 'lebih', 'bikin', 'ikn', 'dan', 'tetek', 'bengek', 'u', 'simbolis', 'program', 'micin', 'yg', 'ga', 'tau', 'tujuan', 'dan', 'hasil', 'percum', 'tak', 'bergun', 'mau', 'dinaikin', 'sampe', 'berapapun', 'kalo', 'udah', 'bocor', 'sana', 'sini', 'ya', 'ga', 'kelar', 'masalah']","['our', 'country', 'ni', 'emang', 'pasak', 'tiang', 'alihalih', 'support', 'health', 'education', 'etc', 'bikin', 'ikn', 'tetek', 'bengek', 'u', 'simbolis', 'program', 'micin', 'yg', 'ga', 'tau', 'tujuan', 'hasil', 'percum', 'bergun', 'dinaikin', 'sampe', 'kalo', 'udah', 'bocor', 'ya', 'ga', 'kelar']","['our', 'country', 'ni', 'emang', 'pasak', 'tiang', 'alihalih', 'support', 'health', 'education', 'etc', 'bikin', 'ikn', 'tetek', 'bengek', 'u', 'simbolis', 'program', 'micin', 'yg', 'ga', 'tau', 'tujuan', 'hasil', 'percum', 'bergun', 'dinaikin', 'sampe', 'kalo', 'udah', 'bocor', 'ya', 'ga', 'kelar']",Neutral
kristinhapsari7,Wed May 15 12:55:43 +0000 2024,Prabowo Subianto kembali menegaskan dukungan serta komitmennya melanjutkan pembangunan Ibu Kota Nusantara (IKN). Kebijakan pembangunan IKN sebelumnya digagas oleh Presiden Joko Widodo. #prabowogibran https://t.co/efjwn5TTxs,Prabowo Subianto kembali menegaskan dukungan serta komitmennya melanjutkan pembangunan Ibu Kota Nusantara IKN Kebijakan pembangunan IKN sebelumnya digagas oleh Presiden Joko Widodo  ,prabowo subianto kembali menegaskan dukungan serta komitmennya melanjutkan pembangunan ibu kota nusantara ikn kebijakan pembangunan ikn sebelumnya digagas oleh presiden joko widodo,"['prabowo', 'subianto', 'kembali', 'menegaskan', 'dukungan', 'serta', 'komitmennya', 'melanjutkan', 'pembangunan', 'ibu', 'kota', 'nusantara', 'ikn', 'kebijakan', 'pembangunan', 'ikn', 'sebelumnya', 'digagas', 'oleh', 'presiden', 'joko', 'widodo']","['prabowo', 'subianto', 'dukungan', 'komitmennya', 'melanjutkan', 'pembangunan', 'kota', 'nusantara', 'ikn', 'kebijakan', 'pembangunan', 'ikn', 'digagas', 'presiden', 'joko', 'widodo']","['prabowo', 'subianto', 'dukungan', 'komitmennya', 'melanjutkan', 'pembangunan', 'kota', 'nusantara', 'ikn', 'kebijakan', 'pembangunan', 'ikn', 'digagas', 'presiden', 'joko', 'widodo']",Neutral
DPDRI,Wed May 15 12:53:03 +0000 2024,Hadiri Forum Focus Group discussion (FGD) di Universitas Balikpapan Wakil ketua DPD RI Mahyudin sampaikan tantangan terbesar Kalimantan Timur sebagai wilayah penyangga IKN ialah membangun potensi Sumber Daya Manusia berkualitas dan kompetitif. #dpdri #kabarsenator #IKN https://t.co/MJOplf1mpG,Hadiri Forum Focus Group discussion FGD di Universitas Balikpapan Wakil ketua DPD RI Mahyudin sampaikan tantangan terbesar Kalimantan Timur sebagai wilayah penyangga IKN ialah membangun potensi Sumber Daya Manusia berkualitas dan kompetitif    ,hadiri forum focus group discussion fgd di universitas balikpapan wakil ketua dpd ri mahyudin sampaikan tantangan terbesar kalimantan timur sebagai wilayah penyangga ikn ialah membangun potensi sumber daya manusia berkualitas dan kompetitif,"['hadiri', 'forum', 'focus', 'group', 'discussion', 'fgd', 'di', 'universitas', 'balikpapan', 'wakil', 'ketua', 'dpd', 'ri', 'mahyudin', 'sampaikan', 'tantangan', 'terbesar', 'kalimantan', 'timur', 'sebagai', 'wilayah', 'penyangga', 'ikn', 'ialah', 'membangun', 'potensi', 'sumber', 'daya', 'manusia', 'berkualitas', 'dan', 'kompetitif']","['hadiri', 'forum', 'focus', 'group', 'discussion', 'fgd', 'universitas', 'balikpapan', 'wakil', 'ketua', 'dpd', 'ri', 'mahyudin', 'tantangan', 'terbesar', 'kalimantan', 'timur', 'wilayah', 'penyangga', 'ikn', 'membangun', 'potensi', 'sumber', 'daya', 'manusia', 'berkualitas', 'kompetitif']","['hadiri', 'forum', 'focus', 'group', 'discussion', 'fgd', 'universitas', 'balikpapan', 'wakil', 'ketua', 'dpd', 'ri', 'mahyudin', 'tantangan', 'terbesar', 'kalimantan', 'timur', 'wilayah', 'penyangga', 'ikn', 'membangun', 'potensi', 'sumber', 'daya', 'manusia', 'berkualitas', 'kompetitif']",Neutral
mhdyzdi,Wed May 15 12:52:39 +0000 2024,@BiLLYKHAERUDIN Pindah k ikn, Pindah k ikn,pindah k ikn,"['pindah', 'k', 'ikn']","['pindah', 'k', 'ikn']","['pindah', 'k', 'ikn']",Neutral
11itsyourname,Wed May 15 11:55:46 +0000 2024,@tanyarlfes Karna yg primer itu ikn sama melanjutkan kekuasaan :), Karna yg primer itu ikn sama melanjutkan kekuasaan ,karna yg primer itu ikn sama melanjutkan kekuasaan,"['karna', 'yg', 'primer', 'itu', 'ikn', 'sama', 'melanjutkan', 'kekuasaan']","['karna', 'yg', 'primer', 'ikn', 'melanjutkan', 'kekuasaan']","['karna', 'yg', 'primer', 'ikn', 'melanjutkan', 'kekuasaan']",Neutral
AmdnLee,Wed May 15 11:54:29 +0000 2024,akankah kalimantan begini setelah ikn dibangun,akankah kalimantan begini setelah ikn dibangun,akankah kalimantan begini setelah ikn dibangun,"['akankah', 'kalimantan', 'begini', 'setelah', 'ikn', 'dibangun']","['kalimantan', 'ikn', 'dibangun']","['kalimantan', 'ikn', 'dibangun']",Neutral
surgaitusuga,Wed May 15 11:53:44 +0000 2024,ikn otw begini. jd situs dedemit,ikn otw begini jd situs dedemit,ikn otw begini jd situs dedemit,"['ikn', 'otw', 'begini', 'jd', 'situs', 'dedemit']","['ikn', 'otw', 'jd', 'situs', 'dedemit']","['ikn', 'otw', 'jd', 'situs', 'dedemit']",Neutral
Herrys045,Wed May 15 11:52:09 +0000 2024,@EkoSandro3 @RefublikAteis Anda bandingkn ikan dgn katak yg punya petangkt u hdup d 2 alam dan ikn hany punya prangkt hdup d 1 alam tdk apple to apple bandingknnya lalu anda ktkn ikan hanya berkutat hdp dlm dunia materi pdahl dia trbts dn batasannya itu udh tkdirnya ikan dak salah,  Anda bandingkn ikan dgn katak yg punya petangkt u hdup d 2 alam dan ikn hany punya prangkt hdup d 1 alam tdk apple to apple bandingknnya lalu anda ktkn ikan hanya berkutat hdp dlm dunia materi pdahl dia trbts dn batasannya itu udh tkdirnya ikan dak salah,anda bandingkn ikan dgn katak yg punya petangkt u hdup d alam dan ikn hany punya prangkt hdup d alam tdk apple to apple bandingknnya lalu anda ktkn ikan hanya berkutat hdp dlm dunia materi pdahl dia trbts dn batasannya itu udh tkdirnya ikan dak salah,"['anda', 'bandingkn', 'ikan', 'dgn', 'katak', 'yg', 'punya', 'petangkt', 'u', 'hdup', 'd', 'alam', 'dan', 'ikn', 'hany', 'punya', 'prangkt', 'hdup', 'd', 'alam', 'tdk', 'apple', 'to', 'apple', 'bandingknnya', 'lalu', 'anda', 'ktkn', 'ikan', 'hanya', 'berkutat', 'hdp', 'dlm', 'dunia', 'materi', 'pdahl', 'dia', 'trbts', 'dn', 'batasannya', 'itu', 'udh', 'tkdirnya', 'ikan', 'dak', 'salah']","['bandingkn', 'ikan', 'dgn', 'katak', 'yg', 'petangkt', 'u', 'hdup', 'd', 'alam', 'ikn', 'hany', 'prangkt', 'hdup', 'd', 'alam', 'tdk', 'apple', 'to', 'apple', 'bandingknnya', 'ktkn', 'ikan', 'berkutat', 'hdp', 'dlm', 'dunia', 'materi', 'pdahl', 'trbts', 'dn', 'batasannya', 'udh', 'tkdirnya', 'ikan', 'dak', 'salah']","['bandingkn', 'ikan', 'dgn', 'katak', 'yg', 'petangkt', 'u', 'hdup', 'd', 'alam', 'ikn', 'hany', 'prangkt', 'hdup', 'd', 'alam', 'tdk', 'apple', 'to', 'apple', 'bandingknnya', 'ktkn', 'ikan', 'berkutat', 'hdp', 'dlm', 'dunia', 'materi', 'pdahl', 'trbts', 'dn', 'batasannya', 'udh', 'tkdirnya', 'ikan', 'dak', 'salah']",Neutral
thankyoupaman,Wed May 15 11:52:01 +0000 2024,makin lama makin keliatan ngebet banget negara ini cari pemasukan sebanyak-banyaknya dari sektor mana aja. entah buat bayar hutang bangun ikn atau program makan siang gratis.,makin lama makin keliatan ngebet banget negara ini cari pemasukan sebanyakbanyaknya dari sektor mana aja entah buat bayar hutang bangun ikn atau program makan siang gratis,makin lama makin keliatan ngebet banget negara ini cari pemasukan sebanyakbanyaknya dari sektor mana aja entah buat bayar hutang bangun ikn atau program makan siang gratis,"['makin', 'lama', 'makin', 'keliatan', 'ngebet', 'banget', 'negara', 'ini', 'cari', 'pemasukan', 'sebanyakbanyaknya', 'dari', 'sektor', 'mana', 'aja', 'entah', 'buat', 'bayar', 'hutang', 'bangun', 'ikn', 'atau', 'program', 'makan', 'siang', 'gratis']","['keliatan', 'ngebet', 'banget', 'negara', 'cari', 'pemasukan', 'sebanyakbanyaknya', 'sektor', 'aja', 'bayar', 'hutang', 'bangun', 'ikn', 'program', 'makan', 'siang', 'gratis']","['keliatan', 'ngebet', 'banget', 'negara', 'cari', 'pemasukan', 'sebanyakbanyaknya', 'sektor', 'aja', 'bayar', 'hutang', 'bangun', 'ikn', 'program', 'makan', 'siang', 'gratis']",Neutral
haijustmee,Wed May 15 11:52:00 +0000 2024,@angesti_nugroho @msaid_didu Pemerintah malah sibuk bikin IKN wkwk yg katanya untuk MEMERATAKAN EKONOMI itu!,  Pemerintah malah sibuk bikin IKN wkwk yg katanya untuk MEMERATAKAN EKONOMI itu,pemerintah malah sibuk bikin ikn wkwk yg katanya untuk memeratakan ekonomi itu,"['pemerintah', 'malah', 'sibuk', 'bikin', 'ikn', 'wkwk', 'yg', 'katanya', 'untuk', 'memeratakan', 'ekonomi', 'itu']","['pemerintah', 'sibuk', 'bikin', 'ikn', 'wkwk', 'yg', 'memeratakan', 'ekonomi']","['pemerintah', 'sibuk', 'bikin', 'ikn', 'wkwk', 'yg', 'memeratakan', 'ekonomi']",Neutral
ISCo3425978135,Wed May 15 11:48:05 +0000 2024,@detikjabar_ Sementara itu.... rumah para pejabat di IKN semakin mewah......, Sementara itu rumah para pejabat di IKN semakin mewah,sementara itu rumah para pejabat di ikn semakin mewah,"['sementara', 'itu', 'rumah', 'para', 'pejabat', 'di', 'ikn', 'semakin', 'mewah']","['rumah', 'pejabat', 'ikn', 'mewah']","['rumah', 'pejabat', 'ikn', 'mewah']",Neutral
skyforksm,Wed May 15 11:45:39 +0000 2024,Bener kok yang PRIMER kan pembangunan IKN berhala di IKN bansos buat paslon 2 pakai duit negara hilirisasi dan joget-joget gemoy itu ,Bener kok yang PRIMER kan pembangunan IKN berhala di IKN bansos buat paslon 2 pakai duit negara hilirisasi dan jogetjoget gemoy itu ,bener kok yang primer kan pembangunan ikn berhala di ikn bansos buat paslon pakai duit negara hilirisasi dan jogetjoget gemoy itu,"['bener', 'kok', 'yang', 'primer', 'kan', 'pembangunan', 'ikn', 'berhala', 'di', 'ikn', 'bansos', 'buat', 'paslon', 'pakai', 'duit', 'negara', 'hilirisasi', 'dan', 'jogetjoget', 'gemoy', 'itu']","['bener', 'primer', 'pembangunan', 'ikn', 'berhala', 'ikn', 'bansos', 'paslon', 'pakai', 'duit', 'negara', 'hilirisasi', 'jogetjoget', 'gemoy']","['bener', 'primer', 'pembangunan', 'ikn', 'berhala', 'ikn', 'bansos', 'paslon', 'pakai', 'duit', 'negara', 'hilirisasi', 'jogetjoget', 'gemoy']",Neutral
