username,created_at,full_text,cleaned,case_fold,token,stop,lemmatized,processed_text,Sentiment_Label
sukmaprila,Wed May 15 00:08:56 +0000 2024,Ini lhoooh maksud w investasi sekali aja ke sini gak infrastruktur yg gak tepat guna bahkan IKN. Tapi ya emang yg disuruh nanggung kita2 yg gak kuat pindah ke IKN sih kok masih berharap hahahahaha,Ini lhoooh maksud w investasi sekali aja ke sini gak infrastruktur yg gak tepat guna bahkan IKN Tapi ya emang yg disuruh nanggung kita2 yg gak kuat pindah ke IKN sih kok masih berharap hahahahaha,ini lhoooh maksud w investasi sekali aja ke sini gak infrastruktur yg gak tepat guna bahkan ikn tapi ya emang yg disuruh nanggung kita yg gak kuat pindah ke ikn sih kok masih berharap hahahahaha,"['ini', 'lhoooh', 'maksud', 'w', 'investasi', 'sekali', 'aja', 'ke', 'sini', 'gak', 'infrastruktur', 'yg', 'gak', 'tepat', 'guna', 'bahkan', 'ikn', 'tapi', 'ya', 'emang', 'yg', 'disuruh', 'nanggung', 'kita', 'yg', 'gak', 'kuat', 'pindah', 'ke', 'ikn', 'sih', 'kok', 'masih', 'berharap', 'hahahahaha']","['lhoooh', 'maksud', 'w', 'investasi', 'aja', 'gak', 'infrastruktur', 'yg', 'gak', 'ikn', 'ya', 'emang', 'yg', 'disuruh', 'nanggung', 'yg', 'gak', 'kuat', 'pindah', 'ikn', 'sih', 'berharap', 'hahahahaha']","['lhoooh', 'maksud', 'w', 'investasi', 'aja', 'gak', 'infrastruktur', 'yg', 'gak', 'ikn', 'ya', 'emang', 'yg', 'disuruh', 'nanggung', 'yg', 'gak', 'kuat', 'pindah', 'ikn', 'sih', 'berharap', 'hahahahaha']",idaini lhoooh mssaiyaadangaskakakakakmssudahai w idanvestasi sekeali sassajaa kee sidaini gssaiyaadanga idanfrastbarkakakakakmuketkakakakakmur yaang gssaiyaadanga gkakakakakmssudtertawana bahkeadan ikedan tatapai iyaa emadang yaang diiskakakakakmubarkakakakakmuh danadanggkakakakakmssudtertawang keita2 yaang gssaiyaadanga sepertiakakakakmuat tapaidandiah kee ikedan sih keoke bertertahkakakakakmuarapa htertahkakakakakmuatertahkakakakakmuatertahkakakakakmuatertahkakakakakmua,Neutral
nurifadhilah9,Wed May 15 00:03:08 +0000 2024,@quintta1217 400 T utk makan siang blm lg anggaran utk IKN yg blm beres emang pemerintah punya uang KPK sekarang malah melindungi pejabat koruptor contoh Firli Bahuri smpe sekarang blm di jeblosin ke penjara, 400 T utk makan siang blm lg anggaran utk IKN yg blm beres emang pemerintah punya uang KPK sekarang malah melindungi pejabat koruptor contoh Firli Bahuri smpe sekarang blm di jeblosin ke penjara,t utk makan siang blm lg anggaran utk ikn yg blm beres emang pemerintah punya uang kpk sekarang malah melindungi pejabat koruptor contoh firli bahuri smpe sekarang blm di jeblosin ke penjara,"['t', 'utk', 'makan', 'siang', 'blm', 'lg', 'anggaran', 'utk', 'ikn', 'yg', 'blm', 'beres', 'emang', 'pemerintah', 'punya', 'uang', 'kpk', 'sekarang', 'malah', 'melindungi', 'pejabat', 'koruptor', 'contoh', 'firli', 'bahuri', 'smpe', 'sekarang', 'blm', 'di', 'jeblosin', 'ke', 'penjara']","['t', 'utk', 'makan', 'siang', 'blm', 'lg', 'anggaran', 'utk', 'ikn', 'yg', 'blm', 'beres', 'emang', 'pemerintah', 'uang', 'kpk', 'melindungi', 'pejabat', 'koruptor', 'contoh', 'firli', 'bahuri', 'smpe', 'blm', 'jeblosin', 'penjara']","['t', 'utk', 'makan', 'siang', 'blm', 'lg', 'anggaran', 'utk', 'ikn', 'yg', 'blm', 'beres', 'emang', 'pemerintah', 'uang', 'kpk', 'melindungi', 'pejabat', 'koruptor', 'contoh', 'firli', 'bahuri', 'smpe', 'blm', 'jeblosin', 'penjara']",diiqkakakakakmuidantta1217 400 t kakakakakmuntuke mssaiyaadangaadan siadang belim adatidakradan kakakakakmuntuke ikedan yaang belim bereplyas emadang pemeridantah pkakakakakmssudtertawainiyaa kakakakakmuadang kepenjtertawat kelamine sekearadang bahkanh melidandikakakakakmssudtertawangi pessajabat keobarkakakakakmuptor codantoh firli bahkakakakakmuri ssampai sekearadang belim dii jebkakakakakmkakakakakmusidan kee pedanssajara,Neutral
theakiira,Tue May 14 23:59:50 +0000 2024,@Syarman59 kalau babyak masalah di Pajak dan bea cukai jangan naikkan PPN motor yg nyangkut hajat hidup ornag banyak dulu pak @luhut_binsar @jokowi nunggu IKN jadi dulu jangan IKN dibebani ke motoris https://t.co/jlscQxKT3B, kalau babyak masalah di Pajak dan bea cukai jangan naikkan PPN motor yg nyangkut hajat hidup ornag banyak dulu pak   nunggu IKN jadi dulu jangan IKN dibebani ke motoris ,kalau babyak masalah di pajak dan bea cukai jangan naikkan ppn motor yg nyangkut hajat hidup ornag banyak dulu pak nunggu ikn jadi dulu jangan ikn dibebani ke motoris,"['kalau', 'babyak', 'masalah', 'di', 'pajak', 'dan', 'bea', 'cukai', 'jangan', 'naikkan', 'ppn', 'motor', 'yg', 'nyangkut', 'hajat', 'hidup', 'ornag', 'banyak', 'dulu', 'pak', 'nunggu', 'ikn', 'jadi', 'dulu', 'jangan', 'ikn', 'dibebani', 'ke', 'motoris']","['babyak', 'pajak', 'bea', 'cukai', 'naikkan', 'ppn', 'motor', 'yg', 'nyangkut', 'hajat', 'hidup', 'ornag', 'nunggu', 'ikn', 'ikn', 'dibebani', 'motoris']","['babyak', 'pajak', 'bea', 'cukai', 'naikkan', 'ppn', 'motor', 'yg', 'nyangkut', 'hajat', 'hidup', 'ornag', 'nunggu', 'ikn', 'ikn', 'dibebani', 'motoris']",diisiyaarmadan59 kealahkakakakakmu babyassaiyaadanga masalahh dii psassajassaiyaadanga diadan bea ckakakakakmukeai ssajadanjkakakakakmuragadan danaisepertieadan pkakakakakmulanganang pergiadaan mdikekenal sebagaimutor yaang dainiyaadangsepertiakakakakmut hsassajaat haidikakakakakmup ordanag badanyassaiyaadanga dikakakakakmulanganakakakakakmu pssaiyaadanga diilkakakakakmuhkakakakakmut_bidansar diijokeowi danakakakakakmssudtertawanggkakakakakmu ikedan ssajadiai dikakakakakmulanganakakakakakmu ssajadanjkakakakakmuragadan ikedan diisayaangadaini kee mdikekenal sebagaimutoris httapis t colehjlscqxket3b,Neutral
ray_almedany,Tue May 14 23:59:31 +0000 2024,@democrazymedia IKN sudah disiapkan buat warga SI JIN PINK , IKN sudah disiapkan buat warga SI JIN PINK ,ikn sudah disiapkan buat warga si jin pink,"['ikn', 'sudah', 'disiapkan', 'buat', 'warga', 'si', 'jin', 'pink']","['ikn', 'disiapkan', 'warga', 'si', 'jin', 'pink']","['ikn', 'disiapkan', 'warga', 'si', 'jin', 'pink']",diidiemdikekenal sebagaimucrazyamedisiiia ikedan skakakakakmssudahaiah diisiapaenjtertawat kelamineadan bkakakakakmuat warga si jidan tapaidanake,Neutral
AnifPrase,Tue May 14 23:59:29 +0000 2024,@AHYS14P Rempang sidakkan mas AHY IKN sidakkan juga Banyak mavia tanya yg menggunakan status PSN untuk mengusi pemiliknya sendiri...., Rempang sidakkan mas AHY IKN sidakkan juga Banyak mavia tanya yg menggunakan status PSN untuk mengusi pemiliknya sendiri,rempang sidakkan mas ahy ikn sidakkan juga banyak mavia tanya yg menggunakan status psn untuk mengusi pemiliknya sendiri,"['rempang', 'sidakkan', 'mas', 'ahy', 'ikn', 'sidakkan', 'juga', 'banyak', 'mavia', 'tanya', 'yg', 'menggunakan', 'status', 'psn', 'untuk', 'mengusi', 'pemiliknya', 'sendiri']","['rempang', 'sidakkan', 'mas', 'ahy', 'ikn', 'sidakkan', 'mavia', 'yg', 'status', 'psn', 'mengusi', 'pemiliknya']","['rempang', 'sidakkan', 'ma', 'ahy', 'ikn', 'sidakkan', 'mavia', 'yg', 'status', 'psn', 'mengusi', 'pemiliknya']",diiahyas14p replyampadang sidissaiyaadangakeadan mas ahya ikedan sidissaiyaadangakeadan jkakakakakmuga badanyassaiyaadanga mavia tadainiyaa yaang medanggkakakakakmssudtertawanssaiyaadangaadan statkakakakakmus psdan kakakakakmssudtertawantkakakakakmuke medangkakakakakmusi pemilikedainiyaa sedandiiri,Neutral
spaidermeng,Tue May 14 23:57:52 +0000 2024,@ramdisaagasi @rayestu makanya ngebet banget bikin ikn di kalimantan. persiapan buat ini kayaknya,  makanya ngebet banget bikin ikn di kalimantan persiapan buat ini kayaknya,makanya ngebet banget bikin ikn di kalimantan persiapan buat ini kayaknya,"['makanya', 'ngebet', 'banget', 'bikin', 'ikn', 'di', 'kalimantan', 'persiapan', 'buat', 'ini', 'kayaknya']","['ngebet', 'banget', 'bikin', 'ikn', 'kalimantan', 'persiapan', 'kayaknya']","['ngebet', 'banget', 'bikin', 'ikn', 'kalimantan', 'persiapan', 'kayaknya']",diiramdiisaagasi diirsaiyaadangestkakakakakmu mssaiyaadangaadainiyaa dangebanget badanget bikeidan ikedan dii kealimadantadan persiapaadan bkakakakakmuat idaini kesaiyaadangssaiyaadanjkakakakakmuragadainiyaa,Neutral
Faizaljam,Tue May 14 23:57:06 +0000 2024,@del_paijo Duit pajak gw bukan dipakai buat membantu anak2 seperti mereka malah buat bangun IKN Anjing, Duit pajak gw bukan dipakai buat membantu anak2 seperti mereka malah buat bangun IKN Anjing,duit pajak gw bukan dipakai buat membantu anak seperti mereka malah buat bangun ikn anjing,"['duit', 'pajak', 'gw', 'bukan', 'dipakai', 'buat', 'membantu', 'anak', 'seperti', 'mereka', 'malah', 'buat', 'bangun', 'ikn', 'anjing']","['duit', 'pajak', 'gw', 'dipakai', 'membantu', 'anak', 'bangun', 'ikn', 'anjing']","['duit', 'pajak', 'gw', 'dipakai', 'membantu', 'anak', 'bangun', 'ikn', 'anjing']",diidiel_paijo dikakakakakmuit psassajassaiyaadanga saiyaa bkakakakakmukeadan diipssaiyaadangaai bkakakakakmuat membakdantkakakakakmu adanssaiyaadanga2 mereplyakea bahkanh bkakakakakmuat badangkakakakakmssudtertawan ikedan adanjidang,Neutral
DwiDian15986493,Tue May 14 23:56:21 +0000 2024,Pembangunan tol di IKN ditargetkan fungsional pada agustus 2024 https://t.co/kQm89bIuxG,Pembangunan tol di IKN ditargetkan fungsional pada agustus 2024 ,pembangunan tol di ikn ditargetkan fungsional pada agustus,"['pembangunan', 'tol', 'di', 'ikn', 'ditargetkan', 'fungsional', 'pada', 'agustus']","['pembangunan', 'tol', 'ikn', 'ditargetkan', 'fungsional', 'agustus']","['pembangunan', 'tol', 'ikn', 'ditargetkan', 'fungsional', 'agustus']",pembakdangkakakakakmssudtertawanadan tonline dii ikedan diinantigetkeadan fkakakakakmssudtertawangsiodakenal padiaa agkakakakakmustkakakakakmus 2024 httapis t colehkeqm89bikakakakakmuxg,Neutral
EddieKasri,Tue May 14 23:53:20 +0000 2024,@DokterTifa Prabowo udah pernahkah ke ikn buk ????, Prabowo udah pernahkah ke ikn buk ,prabowo udah pernahkah ke ikn buk,"['prabowo', 'udah', 'pernahkah', 'ke', 'ikn', 'buk']","['prabowo', 'udah', 'pernahkah', 'ikn', 'buk']","['prabowo', 'udah', 'pernahkah', 'ikn', 'buk']",diidioketertifa prabowo kakakakakmssudahaiah peratkakakakakmuran daerahnahkeah kee ikedan bkakakakakmuke,Neutral
YandraD31,Tue May 14 23:53:13 +0000 2024,Saran ke projo dan @PartaiPAN Untuk 1.projo ; kalo gak boleh pensiun alangkah baiknya jdkan dia pres khusus kalian sj. Ibukotanya IKN dan kalian semua tinggal disana. 2.PAN ; kolaborasi lah dgn projo jdkan Jkw rangkap jabatan sbg Ketum. Ada saran lain? https://t.co/G5zfQKbusH,Saran ke projo dan  Untuk 1projo  kalo gak boleh pensiun alangkah baiknya jdkan dia pres khusus kalian sj Ibukotanya IKN dan kalian semua tinggal disana 2PAN  kolaborasi lah dgn projo jdkan Jkw rangkap jabatan sbg Ketum Ada saran lain ,saran ke projo dan untuk projo kalo gak boleh pensiun alangkah baiknya jdkan dia pres khusus kalian sj ibukotanya ikn dan kalian semua tinggal disana pan kolaborasi lah dgn projo jdkan jkw rangkap jabatan sbg ketum ada saran lain,"['saran', 'ke', 'projo', 'dan', 'untuk', 'projo', 'kalo', 'gak', 'boleh', 'pensiun', 'alangkah', 'baiknya', 'jdkan', 'dia', 'pres', 'khusus', 'kalian', 'sj', 'ibukotanya', 'ikn', 'dan', 'kalian', 'semua', 'tinggal', 'disana', 'pan', 'kolaborasi', 'lah', 'dgn', 'projo', 'jdkan', 'jkw', 'rangkap', 'jabatan', 'sbg', 'ketum', 'ada', 'saran', 'lain']","['saran', 'projo', 'projo', 'kalo', 'gak', 'pensiun', 'alangkah', 'baiknya', 'jdkan', 'pres', 'khusus', 'sj', 'ibukotanya', 'ikn', 'tinggal', 'disana', 'pan', 'kolaborasi', 'dgn', 'projo', 'jdkan', 'jkw', 'rangkap', 'jabatan', 'sbg', 'ketum', 'saran']","['saran', 'projo', 'projo', 'kalo', 'gak', 'pensiun', 'alangkah', 'baiknya', 'jdkan', 'pres', 'khusus', 'sj', 'ibukotanya', 'ikn', 'tinggal', 'disana', 'pan', 'kolaborasi', 'dgn', 'projo', 'jdkan', 'jkw', 'rangkap', 'jabatan', 'sbg', 'ketum', 'saran']",saradan kee profesionaljo diadan diipartaipadan kakakakakmssudtertawantkakakakakmuke 1 profesionaljo kedikekenal sebagaimkakakakakmu gssaiyaadanga bobonlineeh pedansikakakakakmssudtertawan alahdangkeah baikedainiyaa jadikeadan diia preplyas kehkakakakakmuskakakakakmus kealiadan ssaja ibkakakakakmukeotadainiyaa ikedan diadan kealiadan semkakakakakmua tidatidakl diisadana 2 padan keonlineahborasi lahh dibegidaini profesionaljo jadikeadan jkew radangkeapa ssajabatadan sabadang keetkakakakakmum adiaa saradan lahaidan httapis t colehg5zfqkebkakakakakmush,Neutral
wongpinter2019,Tue May 14 23:51:50 +0000 2024,@kompascom IKN konsepnya tidak hargai kearifan lokal Kalimantan yg transportasinya adalah sungai. Gak beda jauh dg kota di Jawa. Tinggal tunggu waktu banjir dan macetnya, IKN konsepnya tidak hargai kearifan lokal Kalimantan yg transportasinya adalah sungai Gak beda jauh dg kota di Jawa Tinggal tunggu waktu banjir dan macetnya,ikn konsepnya tidak hargai kearifan lokal kalimantan yg transportasinya adalah sungai gak beda jauh dg kota di jawa tinggal tunggu waktu banjir dan macetnya,"['ikn', 'konsepnya', 'tidak', 'hargai', 'kearifan', 'lokal', 'kalimantan', 'yg', 'transportasinya', 'adalah', 'sungai', 'gak', 'beda', 'jauh', 'dg', 'kota', 'di', 'jawa', 'tinggal', 'tunggu', 'waktu', 'banjir', 'dan', 'macetnya']","['ikn', 'konsepnya', 'hargai', 'kearifan', 'lokal', 'kalimantan', 'yg', 'transportasinya', 'sungai', 'gak', 'beda', 'dg', 'kota', 'jawa', 'tinggal', 'tunggu', 'banjir', 'macetnya']","['ikn', 'konsepnya', 'hargai', 'kearifan', 'lokal', 'kalimantan', 'yg', 'transportasinya', 'sungai', 'gak', 'beda', 'dg', 'kota', 'jawa', 'tinggal', 'tunggu', 'banjir', 'macetnya']",diikeompascom ikedan keodansepadaainiyaa tidissaiyaadanga tertahkakakakakmuargai keearifadan kakakakakmkakakakakmukeal kealimadantadan yaang tradansportasidainiyaa adiaalahh skakakakakmssudtertawangai gssaiyaadanga bedisiia ssajadiikekenal sebagaimuh dig keota dii ssajawa tidatidakl tkakakakakmssudtertawanggkakakakakmu wssaiyaadangatkakakakakmu badanadanjidang diadan macewasepertiakakakakmuketadiainiyaa,Neutral
akunteansi,Tue May 14 23:47:07 +0000 2024,gaji guru gaada 500 perbulan tp bikin ikn kocaaakkkkk,gaji guru gaada 500 perbulan tp bikin ikn kocaaakkkkk,gaji guru gaada perbulan tp bikin ikn kocaaakkkkk,"['gaji', 'guru', 'gaada', 'perbulan', 'tp', 'bikin', 'ikn', 'kocaaakkkkk']","['gaji', 'guru', 'gaada', 'perbulan', 'tp', 'bikin', 'ikn', 'kocaaakkkkk']","['gaji', 'guru', 'gaada', 'perbulan', 'tp', 'bikin', 'ikn', 'kocaaakkkkk']",gsassajai gkakakakakmubarkakakakakmu gaadiaa 500 perbkakakakakmulanganahdan bikeidan ikedan keocaassaiyaadangasepertiesepertie,Neutral
R4uf_85,Tue May 14 23:42:00 +0000 2024,@DokterTifa Sementara untuk menyenangkan bokap nyokapnya sebelum lengser makanya di ajak. Nanti kedepan suruh ngantor di ikn dan g usah kemana2, Sementara untuk menyenangkan bokap nyokapnya sebelum lengser makanya di ajak Nanti kedepan suruh ngantor di ikn dan g usah kemana2,sementara untuk menyenangkan bokap nyokapnya sebelum lengser makanya di ajak nanti kedepan suruh ngantor di ikn dan g usah kemana,"['sementara', 'untuk', 'menyenangkan', 'bokap', 'nyokapnya', 'sebelum', 'lengser', 'makanya', 'di', 'ajak', 'nanti', 'kedepan', 'suruh', 'ngantor', 'di', 'ikn', 'dan', 'g', 'usah', 'kemana']","['menyenangkan', 'bokap', 'nyokapnya', 'lengser', 'ajak', 'kedepan', 'suruh', 'ngantor', 'ikn', 'g', 'kemana']","['menyenangkan', 'bokap', 'nyokapnya', 'lengser', 'ajak', 'kedepan', 'suruh', 'ngantor', 'ikn', 'g', 'kemana']",diidioketertifa semedanantia kakakakakmssudtertawantkakakakakmuke medanyaedanadangkeadan aiyaah dainiyaakeapaadaainiyaa sebkeamkakakakakmum ledangser mssaiyaadangaadainiyaa dii sassajassaiyaadanga danadanti keedisiiepadan skakakakakmubarkakakakakmuh danjkakakakakmuragadantor dii ikedan diadan g kakakakakmperkamu keemadana2,Neutral
siKuruy,Tue May 14 23:40:53 +0000 2024,@ARSIPAJA Setuju. Buat 100 pak biar g ikn sj yg maju tp seluruh Nusantara barat timur utara selatan..., Setuju Buat 100 pak biar g ikn sj yg maju tp seluruh Nusantara barat timur utara selatan,setuju buat pak biar g ikn sj yg maju tp seluruh nusantara barat timur utara selatan,"['setuju', 'buat', 'pak', 'biar', 'g', 'ikn', 'sj', 'yg', 'maju', 'tp', 'seluruh', 'nusantara', 'barat', 'timur', 'utara', 'selatan']","['setuju', 'biar', 'g', 'ikn', 'sj', 'yg', 'maju', 'tp', 'nusantara', 'barat', 'timur', 'utara', 'selatan']","['setuju', 'biar', 'g', 'ikn', 'sj', 'yg', 'maju', 'tp', 'nusantara', 'barat', 'timur', 'utara', 'selatan']",diiarsipsassajaa setkakakakakmujkakakakakmu bkakakakakmuat 100 pssaiyaadanga biar g ikedan ssaja yaang msassajadiikekenal sebagaimu skeamkakakakakmubarkakakakakmuh danakakakakakmusadanantia barat timkakakakakmur kakakakakmunantia selahtadan,Neutral
MPR_SBY,Tue May 14 23:39:22 +0000 2024,Masa iya @DPR_RI OGAH- OGAHAN pindah dari Jakarta dengan alasan DIFOKUSKAN UNTUK LEGISLATIF? Begitu juga pak @prabowo dengan alasan MAKAN BANYAK ANGGARAN? Lalu kesimpulannya APAKAH JADINYA NANTI IKN?? Selengkapnya: https://t.co/Ajr97QjPvE Oleh: @BabehAldoAje135 #SaveIndonesia https://t.co/NyGmLmk33c,Masa iya  OGAH OGAHAN pindah dari Jakarta dengan alasan DIFOKUSKAN UNTUK LEGISLATIF Begitu juga pak  dengan alasan MAKAN BANYAK ANGGARAN Lalu kesimpulannya APAKAH JADINYA NANTI IKN Selengkapnya  Oleh   ,masa iya ogah ogahan pindah dari jakarta dengan alasan difokuskan untuk legislatif begitu juga pak dengan alasan makan banyak anggaran lalu kesimpulannya apakah jadinya nanti ikn selengkapnya oleh,"['masa', 'iya', 'ogah', 'ogahan', 'pindah', 'dari', 'jakarta', 'dengan', 'alasan', 'difokuskan', 'untuk', 'legislatif', 'begitu', 'juga', 'pak', 'dengan', 'alasan', 'makan', 'banyak', 'anggaran', 'lalu', 'kesimpulannya', 'apakah', 'jadinya', 'nanti', 'ikn', 'selengkapnya', 'oleh']","['iya', 'ogah', 'ogahan', 'pindah', 'jakarta', 'alasan', 'difokuskan', 'legislatif', 'alasan', 'makan', 'anggaran', 'kesimpulannya', 'ikn', 'selengkapnya']","['iya', 'ogah', 'ogahan', 'pindah', 'jakarta', 'alasan', 'difokuskan', 'legislatif', 'alasan', 'makan', 'anggaran', 'kesimpulannya', 'ikn', 'selengkapnya']",iiyaa diidipr_ri mdikekenal sebagaimu ogatertahkakakakakmuadan tapaidandiah diari jssaiyaadangaarta diedanjkakakakakmuragadan alahsadan diifosepertiakakakakmuskeadan kakakakakmssudtertawantkakakakakmuke legislahtif begitkakakakakmu jkakakakakmuga pssaiyaadanga diiprabowo diedanjkakakakakmuragadan alahsadan mssaiyaadangaadan badanyassaiyaadanga adatidakradan lahlkakakakakmu keesimpkakakakakmulanganahdatidakainiyaa apaasaiyaadangaah ssajadiaidainiyaa danadanti ikedan seledangkeapaadaainiyaa httapis t colehsassajar97qjpve obonlineeh diibabangetertahkakakakakmualdiosassajae135 saveidandiodaiinisia httapis t colehdanyaangmlmke33c,Neutral
junhwan27,Tue May 14 23:37:49 +0000 2024,@IKN_9512 OO TAMA KA HAHAHAHAHAHHA, OO TAMA KA HAHAHAHAHAHHA,oo tama ka hahahahahahha,"['oo', 'tama', 'ka', 'hahahahahahha']","['oo', 'tama', 'ka', 'hahahahahahha']","['oo', 'tama', 'ka', 'hahahahahahha']",diiikedan_9512 oo tsama kea htertahkakakakakmuatertahkakakakakmuatertahkakakakakmuatertahkakakakakmuahtertahkakakakakmua,Neutral
Kang_24M,Tue May 14 23:29:16 +0000 2024,IKN dijual ???,IKN dijual ,ikn dijual,"['ikn', 'dijual']","['ikn', 'dijual']","['ikn', 'dijual']",ikedan diijkakakakakmual,Neutral
Penulismalam4,Tue May 14 23:28:26 +0000 2024,@kumparan udah muak liat koruptor gak abis2 tinggal hukum pancung aja atau gantung didepan alun2 IKN, udah muak liat koruptor gak abis2 tinggal hukum pancung aja atau gantung didepan alun2 IKN,udah muak liat koruptor gak abis tinggal hukum pancung aja atau gantung didepan alun ikn,"['udah', 'muak', 'liat', 'koruptor', 'gak', 'abis', 'tinggal', 'hukum', 'pancung', 'aja', 'atau', 'gantung', 'didepan', 'alun', 'ikn']","['udah', 'muak', 'liat', 'koruptor', 'gak', 'abis', 'tinggal', 'hukum', 'pancung', 'aja', 'gantung', 'didepan', 'alun', 'ikn']","['udah', 'muak', 'liat', 'koruptor', 'gak', 'abis', 'tinggal', 'hukum', 'pancung', 'aja', 'gantung', 'didepan', 'alun', 'ikn']",diisepertiakakakakmumparadan kakakakakmssudahaiah mkakakakakmussaiyaadanga lihat keobarkakakakakmuptor gssaiyaadanga tertahkakakakakmuabis2 tidatidakl hkakakakakmusepertiakakakakmum padanckakakakakmssudtertawang sassajaa atahkakakakakmu jkakakakakmuragadantkakakakakmssudtertawang diidiepadan alkakakakakmssudtertawan2 ikedan,Positive
kompascom,Tue May 14 23:16:06 +0000 2024,IKN juga mengusung konsep smart dan intelligent city yang menghadirkan tatanan kota modern. https://t.co/EItZCvhuS0,IKN juga mengusung konsep smart dan intelligent city yang menghadirkan tatanan kota modern ,ikn juga mengusung konsep smart dan intelligent city yang menghadirkan tatanan kota modern,"['ikn', 'juga', 'mengusung', 'konsep', 'smart', 'dan', 'intelligent', 'city', 'yang', 'menghadirkan', 'tatanan', 'kota', 'modern']","['ikn', 'mengusung', 'konsep', 'smart', 'intelligent', 'city', 'menghadirkan', 'tatanan', 'kota', 'modern']","['ikn', 'mengusung', 'konsep', 'smart', 'intelligent', 'city', 'menghadirkan', 'tatanan', 'kota', 'modern']",ikedan jkakakakakmuga medangkakakakakmuskakakakakmssudtertawang keodansep samart diadan idantelligedant citya iyaadang medanbegituertahkakakakakmuadiairkeadan tatadanadan keota mdikekenal sebagaimssudahaierdan httapis t coleheitzcvhkakakakakmus0,Neutral
vanilla__1808,Tue May 14 23:13:24 +0000 2024,@tempodotco Sehabis pemilu yg kita dengar utk Rakyat: kenaikan PPN&amp;BBM. Rencana utk circlenya : dpt kursi menteri jadi penasihat presiden jd pejabat daerah bangun rumah mewah buat pejabat di IKN dll. Kl ini drama maka genrenya tragedi cinta btepuk sebelah tangan. Halu bgt jd Rakyat., Sehabis pemilu yg kita dengar utk Rakyat kenaikan PPNampBBM Rencana utk circlenya  dpt kursi menteri jadi penasihat presiden jd pejabat daerah bangun rumah mewah buat pejabat di IKN dll Kl ini drama maka genrenya tragedi cinta btepuk sebelah tangan Halu bgt jd Rakyat,sehabis pemilu yg kita dengar utk rakyat kenaikan ppnampbbm rencana utk circlenya dpt kursi menteri jadi penasihat presiden jd pejabat daerah bangun rumah mewah buat pejabat di ikn dll kl ini drama maka genrenya tragedi cinta btepuk sebelah tangan halu bgt jd rakyat,"['sehabis', 'pemilu', 'yg', 'kita', 'dengar', 'utk', 'rakyat', 'kenaikan', 'ppnampbbm', 'rencana', 'utk', 'circlenya', 'dpt', 'kursi', 'menteri', 'jadi', 'penasihat', 'presiden', 'jd', 'pejabat', 'daerah', 'bangun', 'rumah', 'mewah', 'buat', 'pejabat', 'di', 'ikn', 'dll', 'kl', 'ini', 'drama', 'maka', 'genrenya', 'tragedi', 'cinta', 'btepuk', 'sebelah', 'tangan', 'halu', 'bgt', 'jd', 'rakyat']","['sehabis', 'pemilu', 'yg', 'dengar', 'utk', 'rakyat', 'kenaikan', 'ppnampbbm', 'rencana', 'utk', 'circlenya', 'dpt', 'kursi', 'menteri', 'penasihat', 'presiden', 'jd', 'pejabat', 'daerah', 'bangun', 'rumah', 'mewah', 'pejabat', 'ikn', 'dll', 'kl', 'drama', 'genrenya', 'tragedi', 'cinta', 'btepuk', 'sebelah', 'tangan', 'halu', 'bgt', 'jd', 'rakyat']","['sehabis', 'pemilu', 'yg', 'dengar', 'utk', 'rakyat', 'kenaikan', 'ppnampbbm', 'rencana', 'utk', 'circlenya', 'dpt', 'kursi', 'menteri', 'penasihat', 'presiden', 'jd', 'pejabat', 'daerah', 'bangun', 'rumah', 'mewah', 'pejabat', 'ikn', 'dll', 'kl', 'drama', 'genrenya', 'tragedi', 'cinta', 'btepuk', 'sebelah', 'tangan', 'halu', 'bgt', 'jd', 'rakyat']",dihaitampodiotco sehtertahkakakakakmuabis pemilkakakakakmu yaang keita diedangar kakakakakmuntuke rssaiyaadangsaiyaadangat keedanaikeadan pkakakakakmulanganang pergiadaan amp bbm replyadanbkeamkakakakakmuma kakakakakmuntuke circledainiyaa dipt sepertiakakakakmursi medanteri ssajadiai pedanasitertahkakakakakmuat preplyasidiedan pessajabat diaerah badangkakakakakmssudtertawan barkakakakakmumah mewah bkakakakakmuat pessajabat dii ikedan dill kelkakakakakmurtertawadan idaini dirsama mssaiyaadangaa gedanreplyadainiyaa tragedisiii cidanta bkakakakakmuatepkakakakakmuke sebelahh tadanjkakakakakmuragadan tertahkakakakakmualkakakakakmu abadanbegitu rssaiyaadangsaiyaadangat,Neutral
Chuukennyu,Tue May 14 23:12:16 +0000 2024,Kan udh di bilang.. IKN tuh mubadzir.. Klo masih nanya kenapa mubadzir ck ck ck..,Kan udh di bilang IKN tuh mubadzir Klo masih nanya kenapa mubadzir ck ck ck,kan udh di bilang ikn tuh mubadzir klo masih nanya kenapa mubadzir ck ck ck,"['kan', 'udh', 'di', 'bilang', 'ikn', 'tuh', 'mubadzir', 'klo', 'masih', 'nanya', 'kenapa', 'mubadzir', 'ck', 'ck', 'ck']","['udh', 'bilang', 'ikn', 'tuh', 'mubadzir', 'klo', 'nanya', 'mubadzir', 'ck', 'ck', 'ck']","['udh', 'bilang', 'ikn', 'tuh', 'mubadzir', 'klo', 'nanya', 'mubadzir', 'ck', 'ck', 'ck']",keadan kakakakakmssudahaih dii bhailahdang ikedan tkakakakakmuh mkakakakakmubadiazir kelkakakakakmurtertawadano danadainiyaa keedakenapaa mkakakakakmubadiazir cke cke cke,Neutral
